date,open,close,high,low
2014-07-17,616.48,619.0,633.6,613.0
2014-07-24,619.0,565.99,619.99,561.55
2014-07-31,566.0,581.36,605.72,561.47
2014-08-07,582.87,586.8,592.7,576.5
2014-08-14,546.25,511.0,546.5,443.0
2014-08-21,510.61,508.35,534.89,491.52
2014-08-28,508.3,474.14,514.77,468.82
2014-09-04,474.14,479.88,497.24,473.1
2014-09-11,478.1,458.3,483.93,451.6
2014-09-18,457.8,424.51,458.3,381.5
2014-09-25,424.51,383.63,426.97,365.0
2014-10-02,382.72,335.97,385.52,275.0
2014-10-09,353.0,394.2,414.42,347.14
2014-10-16,394.2,378.8,400.0,370.2
2014-10-23,378.79,333.58,383.6,332.0
2014-10-30,333.5,338.62,351.0,315.54
2014-11-06,338.62,341.84,354.32,336.32
2014-11-13,432.0,375.26,475.0,366.46
2014-11-20,376.73,369.99,396.87,340.0
2014-11-27,370.0,376.0,390.0,355.51
2014-12-04,376.24,345.08,382.51,343.0
2014-12-11,345.12,318.86,362.99,314.21
2014-12-18,319.5,322.61,337.79,302.32
2014-12-25,322.62,322.3,332.4,307.1
2015-01-01,322.31,297.99,322.9,255.03
2015-01-08,297.89,182.0,298.47,166.45
2015-01-15,181.0,228.08,230.74,179.05
2015-01-22,228.05,234.5,315.0,225.13
2015-01-29,234.49,227.8,248.42,211.02
2015-02-05,227.79,228.8,239.78,210.12
2015-02-12,219.8,236.26,268.54,217.8
2015-02-19,236.27,237.99,248.98,232.1
2015-02-26,237.98,273.33,294.0,233.62
2015-03-05,272.92,276.97,284.99,262.0
2015-03-12,296.52,257.21,298.8,248.0
2015-03-19,257.2,246.29,271.5,235.7
2015-03-26,246.29,246.93,255.96,236.24
2015-04-02,247.07,253.7,262.45,243.0
2015-04-09,244.94,223.98,246.79,216.37
2015-04-16,223.8,234.14,238.99,219.58
2015-04-23,234.35,225.23,237.22,213.92
2015-04-30,225.56,229.27,243.73,224.63
2015-05-07,229.04,237.3,239.79,227.81
2015-05-14,235.72,234.24,239.0,229.0
2015-05-21,234.26,236.48,242.98,233.9
2015-05-28,236.75,225.14,237.5,219.71
2015-06-04,225.14,223.26,229.23,222.29
2015-06-11,228.61,248.95,259.1,228.4
2015-06-18,248.96,239.8,253.7,239.0
2015-06-25,239.75,258.1,269.0,239.5
2015-07-02,258.08,265.72,278.69,252.11
2015-07-09,270.49,285.42,316.23,266.22
2015-07-16,285.42,277.99,295.0,272.0
2015-07-23,277.88,289.92,298.93,275.56
2015-07-30,289.92,282.41,291.0,276.26
2015-08-06,282.58,280.19,282.58,276.07
2015-08-13,267.09,226.32,268.97,162.0
2015-08-20,226.27,226.12,237.94,196.6
2015-08-27,226.13,229.71,238.9,220.11
2015-09-03,229.71,240.85,248.48,226.1
2015-09-10,238.97,228.99,242.89,227.33
2015-09-17,228.99,230.54,236.26,224.25
2015-09-24,230.57,236.49,241.5,230.54
2015-10-01,236.72,244.0,249.01,236.19
2015-10-08,244.0,253.5,255.95,242.62
2015-10-15,253.5,267.8,275.19,253.44
2015-10-22,267.99,304.5,307.99,267.3
2015-10-29,304.5,409.24,504.0,301.5
2015-11-05,409.23,384.99,449.95,351.2
2015-11-12,314.45,335.94,346.44,314.14
2015-11-19,335.83,329.85,336.57,309.46
2015-11-26,329.85,359.12,384.99,329.35
2015-12-03,359.12,418.73,426.59,352.25
2015-12-10,418.86,454.94,475.04,402.5
2015-12-17,454.94,442.62,467.0,424.37
2015-12-24,442.62,423.55,460.05,405.5
2015-12-31,423.51,428.89,436.49,412.5
2016-01-07,428.2,458.78,462.0,427.11
2016-01-14,431.09,419.55,435.0,352.5
2016-01-21,419.65,394.97,424.57,371.25
2016-01-28,394.7,368.98,395.48,360.03
2016-02-04,369.0,372.01,393.89,365.0
2016-02-11,380.97,414.88,421.9,372.25
2016-02-18,414.89,426.36,451.6,409.69
2016-02-25,426.36,422.09,445.0,419.5
2016-03-03,421.7,413.05,424.43,389.0
2016-03-10,412.9,417.28,423.6,406.38
2016-03-17,417.28,418.12,420.6,403.01
2016-03-24,418.12,413.12,431.0,406.51
2016-03-31,413.04,422.57,425.0,413.04
2016-04-07,422.52,422.28,422.86,417.78
2016-04-14,424.77,443.85,446.61,424.01
2016-04-21,443.82,444.85,471.99,442.01
2016-04-28,445.14,447.38,457.49,435.0
2016-05-05,447.22,452.28,466.0,445.01
2016-05-12,452.28,453.52,460.67,445.91
2016-05-19,453.52,449.09,454.71,433.0
2016-05-26,449.09,536.79,570.0,446.01
2016-06-02,536.91,576.88,593.89,532.37
2016-06-09,583.26,696.99,719.0,569.97
2016-06-16,698.0,605.85,789.78,588.88
2016-06-23,605.87,640.0,698.0,555.56
2016-06-30,640.29,677.04,706.98,635.57
2016-07-07,677.35,640.51,682.0,610.1
2016-07-14,653.61,665.85,689.96,649.89
2016-07-21,665.91,655.51,668.0,639.41
2016-07-28,655.5,604.1,660.49,595.0
2016-08-04,579.0,590.28,614.5,579.0
2016-08-11,590.5,571.83,599.75,562.99
2016-08-18,571.95,580.32,590.69,569.71
2016-08-25,580.23,576.15,581.14,567.23
2016-09-01,576.27,619.75,620.85,570.61
2016-09-08,619.95,613.88,640.0,595.36
2016-09-15,613.88,597.43,617.93,591.0
2016-09-22,597.43,603.76,610.1,595.92
2016-09-29,604.01,614.09,618.0,575.0
2016-10-06,614.3,637.63,646.86,612.68
2016-10-13,637.62,631.77,645.8,627.84
2016-10-20,659.49,678.7,685.84,658.46
2016-10-27,734.6,750.85,751.47,723.59
2016-11-03,711.98,724.54,743.06,708.5
2016-11-10,712.0,744.98,747.49,710.0
2016-11-17,749.85,742.0,750.91,730.79
2016-11-24,731.06,739.0,743.14,728.98
2016-12-01,757.18,765.01,774.92,746.16
2016-12-08,775.0,774.49,781.16,771.15
2016-12-15,797.99,829.34,830.5,794.95
2016-12-22,936.42,981.7,983.0,935.93
2016-12-29,1037.6,1139.6,1150.0,1036.4
2017-01-05,905.76,779.54,923.66,760.0
2017-01-12,903.99,887.46,913.85,847.23
2017-01-19,886.45,893.35,899.61,884.2
2017-01-26,966.2,983.73,985.0,960.1
2017-02-02,1052.5,1048.8,1070.0,1006.5
2017-02-09,1013.4,1013.9,1018.2,1002.3
2017-02-16,1130.1,1125.5,1140.0,1106.4
2017-02-23,1189.1,1233.2,1236.4,1186.0
2017-03-02,1232.3,1150.0,1243.6,1142.1
2017-03-09,1244.4,1256.2,1263.9,1241.0
2017-03-16,1115.7,1039.1,1116.0,985.55
2017-03-23,1044.3,1041.8,1059.0,1008.5
2017-03-30,1145.7,1140.4,1146.7,1111.2
2017-04-06,1236.0,1227.4,1244.3,1221.0
2017-04-13,1265.2,1260.5,1272.0,1254.3
2017-04-20,1372.1,1400.0,1411.7,1362.3
2017-04-27,1560.0,1619.0,1627.0,1541.9
2017-05-04,1760.0,1796.9,1817.4,1722.3
2017-05-11,1785.4,1870.0,1894.0,1766.3
2017-05-18,2249.2,2395.5,2444.9,2246.1
2017-05-25,2146.8,2191.8,2241.0,2000.0
2017-06-01,2844.7,2644.0,2850.0,2600.1
2017-06-08,2677.1,2394.3,2722.42278245,2280.0
2017-06-15,2713.6,2624.4,2760.0,2572.3
2017-06-22,2521.2,2518.2,2566.8,2403.2
2017-06-29,2579.9,2598.6,2619.0,2477.9
2017-07-06,2285.5,2375.6,2397.0,2190.0
2017-07-13,2300.4,2253.4,2400.0,2213.9
2017-07-20,2560.9,2527.73811996,2612.0,2404.0
2017-07-27,2731.9,2702.0,2758.0,2610.0
2017-08-03,3415.0,3340.4,3430.0,3235.1
2017-08-10,4151.9,4386.4,4405.0,3925.1
2017-08-17,4083.9,4130.2,4255.2,4045.0
2017-08-24,4587.1,4568.0,4643.0,4481.0
2017-08-31,4375.0,4595.8,4633.7,4352.4
2017-09-07,4149.4,3849.7,4160.0,3731.7
2017-09-14,3892.6,3872.4,4049.0,3829.0
2017-09-21,3881.7,4209.7,4229.5,3876.7
2017-09-28,4309.6,4215.9,4359.2,4174.3
2017-10-05,4777.1,4824.9,4881.4,4715.0
2017-10-12,5597.2,5567.0,5597.9,5114.0
2017-10-19,5510.0,5724.1,5746.9,5365.3
2017-10-26,6455.0,6739.6,6739.9,6344.5
2017-11-02,7102.1,7446.1,7899.9,6977.4
2017-11-09,6590.0,7265.84095228,7319.0,6589.9
2017-11-16,8096.8,8230.0,8310.0,8055.0
2017-11-23,9895.2,9766.1,11441.0,9000.0
2017-11-30,11591.0,13509.0,13599.0,11590.0
2017-12-07,16968.0,16171.0,17293.0,15632.0
2017-12-14,17344.0,16425.0,17709.0,15500.0
2017-12-21,15680.0,15375.0,16494.0,14454.0
2017-12-28,14717.0,15150.0,15428.83091885,14500.0
2018-01-04,14429.0,14900.0,14901.0,13300.0
2018-01-11,11065.0,11108.0,11497.0,9231.1
2018-01-18,10812.0,11391.0,11557.88958366,10430.0
2018-01-25,10171.0,10267.0,10414.0,9760.0
2018-02-01,7677.2,7586.9,8488.9,7175.1
2018-02-08,8512.1,9455.5,9489.0,8512.1
2018-02-15,11212.0,10450.0,11239.0,10200.0
2018-02-22,10583.0,10315.0,11065.0,10261.0
2018-03-01,10719.0,9910.6,10899.0,9400.0
2018-03-08,9136.0,8176.0,9439.6,7916.0
2018-03-15,8899.8,8888.2,9177.5,8752.0
2018-03-22,7784.7,7936.0,8120.2,7702.1
2018-03-29,7405.6,6786.0,7422.0,6670.0
2018-04-05,6836.1,6943.1,7017.4,6794.0
2018-04-12,7888.9,8171.0,8237.2,7870.5
2018-04-19,9646.9,8869.2,9767.4,8765.1
2018-04-26,9071.3,9236.4,9279.9,8968.3
